"","CU25_1","CU25_2","CU25_4","CU25_5","CU25_6","CU25_7","CU25_8","CU25_10"
"Gnai3",8.47080959326381,8.83429294411548,9.12189677295558,9.70782566357618,9.79382451615316,9.4710312824535,9.51394081445253,9.80907619523689
"Cdc45",7.79593920748465,7.88023448903384,7.85736226618998,7.4667855738725,7.86996607378696,8.0452952348396,7.77256849324763,8.04471166292759
"Scml2",6.4483076046247,6.08903019021879,6.5472249423228,6.52737471857631,6.08903019021879,6.08903019021879,6.08903019021879,6.08903019021879
"Apoh",7.25195871789805,6.93055149450891,6.73434899099698,6.63733434073709,6.44179185090854,6.49519621110951,6.62288065137677,7.76585152256698
"Narf",12.8667617670979,13.0265183948263,12.9035649913028,12.7112955655277,11.6231299608647,11.5869546658202,11.6328821506537,12.0478419655526
"Cav2",8.02273048230461,8.11304017370242,8.96811919852765,9.26524967040351,8.53576374421708,7.80796852632663,8.8293869346977,8.93765755069065
"Klf6",9.74930521776223,9.6672870706606,10.0179084577982,10.2502745884414,11.0608238851352,11.4735338693714,10.8570386790079,11.2585508998146
"Scmh1",10.865658451795,11.0390595249097,10.8616991014737,10.5903585811644,10.9077957378917,11.0940651777354,10.9106920113095,10.7875132775467
"Cox5a",13.6106128351327,13.3651693498645,13.4880545602142,13.2294538268123,12.9088360978137,13.0515590579519,13.2349990436864,12.8311645132164
"Tbx2",7.59045442826897,7.75645048262454,7.3709046618082,7.48396872990771,8.00057169565911,7.80023950975368,7.88220067851193,7.89411374284852
"Tbx4",7.68109655558671,7.54677539962412,7.62781985458124,7.67882417651737,7.52889467543003,7.47061543070558,7.45763863427858,7.40920624093531
"Ngfr",8.1431825995854,7.74100655018675,7.69149464264898,7.47541150421184,7.77690627692589,8.55394012691973,7.5262098025806,7.81470992325127
"Wnt3",6.4483076046247,6.34039612705304,6.43601348849959,6.32397778693793,6.08903019021879,6.08903019021879,6.08903019021879,6.08903019021879
"Wnt9a",9.38217479355833,9.45614190346224,9.46614782040244,9.30963768615653,7.72361906074664,8.31893317635906,8.31533565305491,8.55824556214147
"Fer",8.98652144973645,9.24078364713995,9.38871381233563,9.23924236354485,9.03360532593549,8.99895109627749,9.23094434231078,9.18735982540954
"Xpo6",9.40971830532939,9.36979352298991,9.93392666925911,10.1466446372208,9.99902581137144,9.77304424671533,10.2879271816878,10.2725424922414
"Tfe3",9.45093655723031,9.55965956932769,9.22223174971742,9.1902758766724,9.02498868442385,9.09532750528532,9.24614888239774,9.16529150535153
"Axin2",8.78015838689653,8.41875818707751,8.74151480351689,8.46656868523922,9.1463309038553,9.03283659391976,9.04019500987072,8.27757498139527
"Brat1",8.72186730723547,8.77964547510036,8.54698732186784,8.40782341909726,8.91408392718979,9.10403097903517,8.74169181836631,8.57729335530504
"Gna12",11.1241919642697,10.886182464477,10.8361304784053,10.6871176388498,9.90784601857986,10.0401508606775,9.6395810608704,10.0092577075487
"Slc22a18",6.86868119485449,6.74914991516869,6.5472249423228,6.70660415999965,6.83101171087219,6.49519621110951,6.39841719952678,6.79201550894731
"Itgb2l",6.62029595639553,6.08903019021879,6.08903019021879,6.08903019021879,6.08903019021879,6.08903019021879,6.08903019021879,6.65645786403661
"Pih1d2",6.62029595639553,6.77190267361763,6.63570574512542,6.4950796550816,6.44179185090854,6.40405884088155,6.48794092510865,6.3867448024636
"Dlat",12.8861402879994,12.7316175675883,12.7181747766581,12.3887235716805,11.4888575426503,11.7641819352618,11.8197222373488,11.7702509550796
"Sdhd",12.6181419037006,12.4665152196776,12.5713675105444,12.3787083323005,11.8495620787199,12.0949940346404,12.1972876779723,11.7984218329813
"Fgf23",6.4483076046247,6.08903019021879,6.08903019021879,6.25525491524189,6.08903019021879,6.08903019021879,6.34180451649344,6.3867448024636
"Fgf6",9.19612642791506,9.12343005932896,8.83730086647712,8.71440664930892,7.61768753204729,7.98676498605898,7.83227701787606,8.27757498139527
"Ccnd2",10.0315512301434,9.83144242508965,9.63672216322189,10.0261552785441,9.31067488867351,7.95302443533408,8.21193179744476,9.02230370358998
"Gpr107",10.8564295771293,10.8972091551765,10.7061339846831,10.5594934619386,11.6076055933467,11.1681902351827,11.0527906064453,11.0458598904084
"Nalcn",7.13454604080316,6.74914991516869,6.60795853001541,6.98549209973837,6.6715132456429,6.34641984239714,7.01980837218976,6.60288201101699
"Slfn4",6.31660876692879,6.2668850118428,6.43601348849959,6.63733434073709,6.48318595430617,6.27115267979593,6.34180451649344,7.08766755922353
"Drp2",8.87391623572642,8.73358783246432,8.77530325771622,8.50061681243863,8.41083877280095,8.14897414773198,8.3301664122442,7.96867775394181
"Tspan32",7.06342499991028,6.8751628996892,6.63570574512542,7.02779692808003,6.48318595430617,6.27115267979593,6.34180451649344,6.86858882671824
"Lhx2",6.81940904888089,6.81512130937556,6.08903019021879,6.63733434073709,6.26574025732778,6.08903019021879,6.08903019021879,6.26111890898373
"Gmpr",12.5878290090919,12.712594025825,12.1878658282216,12.1005616348799,11.6894286562494,12.0028952349298,11.7379843834852,11.4367869308919
"Mid2",8.17047695310579,8.1637307996181,8.76188747482242,8.64904654767192,8.74148139228876,8.20064680399372,8.5178215806675,8.2095231689248
"Trim25",9.44207764143118,9.25571545649081,9.48033266990203,9.24361043464926,9.80215938305461,9.73098231861856,9.8337572217145,9.65866937877227
"Dgke",8.08197283347872,8.22309597931621,8.43168915105179,8.43947542649014,8.36490092591034,8.29820625173004,8.44769492668815,8.38660576495013
"Scpep1",9.66981951774755,9.56364716733546,9.13225954563172,9.28444460787967,8.74501315830231,8.65365017874714,8.81228920526014,8.87821740079202
"Mnt",9.19188800767592,9.0565762204549,9.32265795109676,9.0771093367828,10.9427354066219,10.1058778183474,11.0420683797615,10.1156418761049
"Itgb2",8.77157092719614,8.48094566238388,7.93561192845618,8.35472627742537,7.54722938858948,7.66047021042133,7.43721457782882,8.19950434449652
"Hddc2",7.97639391541517,8.11304017370242,7.91651243683204,8.01913073614268,7.6261924920649,7.51128580232079,7.35128324625064,7.67708410451423
"Tpd52l1",9.84882655964904,9.82813954875874,9.98433936938037,9.7991066883957,10.2224680844646,10.2432587478699,10.0120102744945,9.97196249738693
"Pemt",7.33834187874938,7.06140132390413,7.23794427813449,7.37642229388236,7.16795504688063,7.33828865584349,7.15334500719048,7.46643943099215
"Cdh1",6.92949874301225,6.67524044010438,6.81905483874404,6.37662272064648,7.6261924920649,6.45255461014013,6.62288065137677,6.57377574209306
"Cdh4",9.63766840111665,10.3350768263432,8.73808975324751,10.0621535723697,7.30319004333247,7.23938516538466,6.95282617910068,7.98663829952827
"Bcl6b",8.24482200547464,8.09568736894013,7.63597538490096,7.98072492837717,7.92387751244571,7.43906850450183,7.39513894763012,7.42863072147378
"Clec10a",7.88385341227156,8.24402736506851,7.80225038816812,8.13768021882568,7.63463427664539,7.59762707712327,7.3734453030793,7.67708410451423
"Alox12",8.2016073964161,7.54677539962412,7.65211364743278,7.42257588403322,6.78941432517188,6.63254068093247,6.70431690620312,6.47292681528908
"Comt",10.7782933677084,11.0030645234019,10.5575238344867,10.3718219159567,11.0697829897381,11.0136414109159,11.3097430434349,10.6984053962088
"Rtca",9.74787286568402,9.88803865741349,9.61488411742699,9.79763227109391,10.1356494301446,10.1563696896691,10.1277442221747,10.138246256189
"Dbt",9.85415707297648,9.99932362013375,10.6854496603922,10.7323916239981,11.4650361529584,11.0384675121765,11.575081608877,10.6114942346018
"Dazap2",11.6091134791706,11.6287778454923,11.4559835309784,11.2830474604661,12.4731717662417,12.4501725047332,12.8433333240611,11.9742776101681
"Mcts1",8.80560373283339,9.09318488510339,9.01381241054343,9.15588298887426,9.10341476789326,9.16348598929935,9.22839419353066,9.20668904686369
"Rem1",7.51539208553249,7.37756014752518,7.3709046618082,7.3477044786347,6.92527563042767,6.66157001922313,6.93514785656525,6.93769471624893
"Rnf17",6.25003587786956,6.48572664042375,6.38970685675043,6.45990354605985,6.52054005440785,6.27115267979593,6.65140666755771,6.60288201101699
"Trappc10",11.8253778148953,11.66053149196,11.7837304558665,11.4737498193489,11.5852024127929,11.7537779721577,11.812594724643,11.460327529825
"Ccm2",10.067515761454,10.0638440291613,9.80994524477787,9.76781911637865,9.1647011389725,9.4417571044837,9.24109894237005,9.37392061977608
"Tbrg4",11.1170363000586,10.9205570481943,11.0405635960637,10.7060248959005,11.2215706705316,11.2745815179207,11.4987573406347,10.9407631285956
"Tmprss2",6.4483076046247,6.08903019021879,6.26283517020529,6.08903019021879,7.35896732214132,6.34641984239714,6.08903019021879,6.26111890898373
"Mx1",6.59582928013891,6.64830417671197,6.47673727509932,6.78780168145693,6.6447439704945,6.49519621110951,6.34180451649344,6.54273219240034
"Fap",8.87657970311397,8.59331399550812,8.50693574360634,8.99623317229151,7.29165062917444,7.3499870933823,7.12538726678445,7.47568574106791
"Ndufa9",12.9205051524186,12.7908176271713,12.6465268360416,12.3464848606706,12.0308242762112,12.2657749450853,12.3247441637822,11.886444035296
"Egfl6",7.14586115539493,7.29902511728352,6.85765704446226,7.53394047596135,6.26574025732778,6.08903019021879,6.39841719952678,6.47292681528908
"Lck",6.59582928013891,6.2668850118428,6.08903019021879,6.25525491524189,6.3387802392108,6.08903019021879,6.26788278946765,6.57377574209306
"Cttnbp2",6.7474881981714,6.85571863092541,6.85765704446226,7.02779692808003,6.76758149765416,6.63254068093247,6.70431690620312,6.70517940387028
"Galnt1",11.0335464584761,11.3244813464844,11.6887541581197,11.8144467761469,11.2467002528198,11.3237453830652,11.3192442870183,11.4707226376219
"Myf5",6.83622661297244,6.83572012636215,6.94592917053102,6.99984077009032,6.76758149765416,6.96817139745881,6.93514785656525,6.86858882671824
"Mkrn2",11.3736288593957,11.5621028884077,11.2868267063433,11.1485381060321,11.8491621283565,11.7993560236489,11.8268146854822,11.5225542100918
"Pparg",8.0867869246349,8.48959845572558,7.87739897304439,7.51753640604556,8.73439045632366,7.42834093416282,7.49735238193064,7.84176018309297
"Raf1",12.5491216074943,12.7729910512934,12.5562805822471,12.409747813899,12.9113279771563,13.2587506392051,13.3564079121472,12.8587390780273
"Septin1",7.28160385383761,7.16124763662259,6.99434866482486,6.95599151104706,6.74496777611369,6.60178936420311,6.93514785656525,7.20331080850149
"Pdgfb",10.0513855597544,9.98606277437921,9.75783351159465,9.58139107136576,8.35080347985803,8.51456996347768,9.12514355775546,8.86907717169123
"Acvrl1",10.0397516349983,9.60678719562833,9.59642585012319,9.30128993133781,8.41983894407688,8.75773935960434,8.74530918821109,8.93765755069065
"Tamalin",8.07714044463328,8.08398620459363,8.02105184997268,8.28190921255218,8.36490092591034,8.38413203719121,8.19022875278033,8.46698450589995
"Acvr1b",10.760730659803,11.2466034189353,10.7399600943225,10.9079556203773,13.1481740766363,13.2727536819493,13.4799420139806,12.1737243824875
"Tom1l2",12.5193937363762,12.457242253595,12.3277114601176,11.9816382761375,12.5712258229031,12.7040314527981,12.7465820574116,12.3478347814178
"Zfp385a",9.89092347849114,9.80983575182516,9.45387526394869,9.48732688127535,8.70201906743254,8.49669581709843,8.17370927235403,8.90528139640371
"Itga5",9.71305709374418,9.24078364713995,9.03056816388775,9.16282934855726,9.42354768127425,9.91037961445354,10.2523275704341,10.0335915657513
"Gabra2",6.41054295908313,6.2668850118428,6.26283517020529,6.08903019021879,6.26574025732778,6.27115267979593,6.44605278073222,6.33225654299827
"Wdr77",10.1692195152408,10.1821859499535,10.3208005458468,9.97626956349425,10.7468918406385,10.6158466835484,10.8190084477979,10.3648073170489
"Adora3",6.36761195034119,6.34039612705304,6.38970685675043,6.42093115304451,6.48318595430617,6.08903019021879,6.08903019021879,6.08903019021879
